,SMILES
13,N#Cc1c(F)c(C#N)c(B(c2c(C#N)c(F)c(C#N)c(F)c2C#N)c2c(C#N)c(F)c(C#N)c(F)c2C#N)c(C#N)c1F
14,CN(C)c1c(C#N)c(B(c2c(C#N)c(N(C)C)c(C#N)c(N(C)C)c2C#N)c2c(C#N)c(N(C)C)c(C#N)c(N(C)C)c2C#N)c(C#N)c(N(C)C)c1C#N
15,Nc1c(C(F)(F)F)c(N)c(C(F)(F)F)c(B(c2c(C(F)(F)F)c(N)c(C(F)(F)F)c(N)c2C(F)(F)F)c2c(C(F)(F)F)c(N)c(C(F)(F)F)c(N)c2C(F)(F)F)c1C(F)(F)F
16,Oc1c(Cl)c(B(c2c(Cl)c(O)c(Br)c(O)c2Cl)c2c(Cl)c(O)c(Br)c(O)c2Cl)c(Cl)c(O)c1Br
17,CC(C)(C)c1c(C#N)c(B(c2c(C#N)c(C(C)(C)C)c(C#N)c(C(C)(C)C)c2C#N)c2c(C#N)c(C(C)(C)C)c(C#N)c(C(C)(C)C)c2C#N)c(C#N)c(C(C)(C)C)c1C#N
18,N#Cc1c(N)c(Br)c(N)c(C#N)c1B(c1c(C#N)c(N)c(Br)c(N)c1C#N)c1c(C#N)c(N)c(Br)c(N)c1C#N
19,FC(F)(F)c1c(B(c2c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c2C(F)(F)F)c2c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c2C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c1C(F)(F)F
20,CC(C)(C)c1cc(C(C)(C)C)c(B(c2c(C(C)(C)C)cc(C(C)(C)C)cc2C(C)(C)C)c2c(C(C)(C)C)cc(C(C)(C)C)cc2C(C)(C)C)c(C(C)(C)C)c1
21,CC(C)(C)c1c(O)c(C(C)(C)C)c(B(c2c(C(C)(C)C)c(O)c(C(C)(C)C)c(O)c2C(C)(C)C)c2c(C(C)(C)C)c(O)c(C(C)(C)C)c(O)c2C(C)(C)C)c(C(C)(C)C)c1O
22,Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1
23,CN(C)c1c(B(c2c(N(C)C)c([N+](=O)[O-])c(N(C)C)c([N+](=O)[O-])c2N(C)C)c2c(N(C)C)c([N+](=O)[O-])c(N(C)C)c([N+](=O)[O-])c2N(C)C)c(N(C)C)c([N+](=O)[O-])c(N(C)C)c1[N+](=O)[O-]
24,Fc1c(Br)c(F)c(Br)c(B(c2c(Br)c(F)c(Br)c(F)c2Br)c2c(Br)c(F)c(Br)c(F)c2Br)c1Br
25,CC(C)(C)c1c(N)c(B(c2c(N)c(C(C)(C)C)c(N)c(C(C)(C)C)c2N)c2c(N)c(C(C)(C)C)c(N)c(C(C)(C)C)c2N)c(N)c(C(C)(C)C)c1N
26,COc1c(OC)c(OC)c(B(c2c(OC)c(OC)c(OC)c(OC)c2OC)c2c(OC)c(OC)c(OC)c(OC)c2OC)c(OC)c1OC
27,COc1c(Br)c(OC)c(B(c2c(OC)c(Br)c(OC)c(Br)c2OC)c2c(OC)c(Br)c(OC)c(Br)c2OC)c(OC)c1Br
28,COc1c(C(F)(F)F)c(OC)c(C(F)(F)F)c(B(c2c(C(F)(F)F)c(OC)c(C(F)(F)F)c(OC)c2C(F)(F)F)c2c(C(F)(F)F)c(OC)c(C(F)(F)F)c(OC)c2C(F)(F)F)c1C(F)(F)F
29,COc1c(B(c2c(OC)c(N(C)C)c(OC)c(N(C)C)c2OC)c2c(OC)c(N(C)C)c(OC)c(N(C)C)c2OC)c(OC)c(N(C)C)c(OC)c1N(C)C
30,Cc1c(C#N)c(C)c(C#N)c(B(c2c(C#N)c(C)c(C#N)c(C)c2C#N)c2c(C#N)c(C)c(C#N)c(C)c2C#N)c1C#N
31,CC(C)(C)c1cc(B(c2cc(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)c2)c2cc(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)c2)cc(C(C)(C)C)c1C(C)(C)C
32,Oc1c(O)c(O)c(B(c2c(O)c(O)c(O)c(O)c2O)c2c(O)c(O)c(O)c(O)c2O)c(O)c1O
33,COc1c(B(c2c(OC)c([N+](=O)[O-])c(OC)c([N+](=O)[O-])c2OC)c2c(OC)c([N+](=O)[O-])c(OC)c([N+](=O)[O-])c2OC)c(OC)c([N+](=O)[O-])c(OC)c1[N+](=O)[O-]
34,N#Cc1c(C(F)(F)F)c(C#N)c(C(F)(F)F)c(B(c2c(C(F)(F)F)c(C#N)c(C(F)(F)F)c(C#N)c2C(F)(F)F)c2c(C(F)(F)F)c(C#N)c(C(F)(F)F)c(C#N)c2C(F)(F)F)c1C(F)(F)F
35,Cc1c(N)c(B(c2c(N)c(C)c(Cl)c(C)c2N)c2c(N)c(C)c(Cl)c(C)c2N)c(N)c(C)c1Cl
36,O=[N+]([O-])c1c(B(c2c([N+](=O)[O-])c(C(F)(F)F)c([N+](=O)[O-])c(C(F)(F)F)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(C(F)(F)F)c([N+](=O)[O-])c(C(F)(F)F)c2[N+](=O)[O-])c([N+](=O)[O-])c(C(F)(F)F)c([N+](=O)[O-])c1C(F)(F)F
37,N#Cc1cc(B(c2cc(C#N)c(C#N)c(C#N)c2)c2cc(C#N)c(C#N)c(C#N)c2)cc(C#N)c1C#N
38,CN(C)c1c(Cl)c(B(c2c(Cl)c(N(C)C)c(Cl)c(N(C)C)c2Cl)c2c(Cl)c(N(C)C)c(Cl)c(N(C)C)c2Cl)c(Cl)c(N(C)C)c1Cl
39,FC(F)(F)c1c(Cl)c(B(c2c(Cl)c(C(F)(F)F)c(Cl)c(C(F)(F)F)c2Cl)c2c(Cl)c(C(F)(F)F)c(Cl)c(C(F)(F)F)c2Cl)c(Cl)c(C(F)(F)F)c1Cl
40,CN(C)c1c(Br)c(N(C)C)c(B(c2c(N(C)C)c(Br)c(N(C)C)c(Br)c2N(C)C)c2c(N(C)C)c(Br)c(N(C)C)c(Br)c2N(C)C)c(N(C)C)c1Br
41,CN(C)c1c(B(c2c(N(C)C)c(C(F)(F)F)c(N(C)C)c(C(F)(F)F)c2N(C)C)c2c(N(C)C)c(C(F)(F)F)c(N(C)C)c(C(F)(F)F)c2N(C)C)c(N(C)C)c(C(F)(F)F)c(N(C)C)c1C(F)(F)F
42,O=[N+]([O-])c1cc([N+](=O)[O-])c(B(c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1
43,COc1c(N)c(OC)c(B(c2c(OC)c(N)c(OC)c(N)c2OC)c2c(OC)c(N)c(OC)c(N)c2OC)c(OC)c1N
44,FC(F)(F)c1cc(C(F)(F)F)c(B(c2c(C(F)(F)F)cc(C(F)(F)F)cc2C(F)(F)F)c2c(C(F)(F)F)cc(C(F)(F)F)cc2C(F)(F)F)c(C(F)(F)F)c1
45,COc1cc(OC)c(B(c2c(OC)cc(OC)cc2OC)c2c(OC)cc(OC)cc2OC)c(OC)c1
46,O=[N+]([O-])c1c(F)c([N+](=O)[O-])c(B(c2c([N+](=O)[O-])c(F)c([N+](=O)[O-])c(F)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(F)c([N+](=O)[O-])c(F)c2[N+](=O)[O-])c([N+](=O)[O-])c1F
47,CC(C)(C)c1c(Br)c(C(C)(C)C)c(B(c2c(C(C)(C)C)c(Br)c(C(C)(C)C)c(Br)c2C(C)(C)C)c2c(C(C)(C)C)c(Br)c(C(C)(C)C)c(Br)c2C(C)(C)C)c(C(C)(C)C)c1Br
48,Oc1cc(O)c(B(c2c(O)cc(O)cc2O)c2c(O)cc(O)cc2O)c(O)c1
49,N#Cc1cc(C#N)c(B(c2c(C#N)cc(C#N)cc2C#N)c2c(C#N)cc(C#N)cc2C#N)c(C#N)c1
