,SMILES
39,COc1c(C(F)(F)F)c(OC)c(C(F)(F)F)c(B(c2c(C(F)(F)F)c(OC)c(C(F)(F)F)c(OC)c2C(F)(F)F)c2c(C(F)(F)F)c(OC)c(C(F)(F)F)c(OC)c2C(F)(F)F)c1C(F)(F)F
40,N#Cc1cc(B(c2cc(C#N)c(C#N)c(C#N)c2)c2cc(C#N)c(C#N)c(C#N)c2)cc(C#N)c1C#N
41,Cc1c(B(c2c(C)c(N(C)C)c(N(C)C)c(N(C)C)c2C)c2c(C)c(N(C)C)c(N(C)C)c(N(C)C)c2C)c(C)c(N(C)C)c(N(C)C)c1N(C)C
42,N#Cc1c(Br)c(C#N)c(B(c2c(C#N)c(Br)c(C#N)c(Br)c2C#N)c2c(C#N)c(Br)c(C#N)c(Br)c2C#N)c(C#N)c1Br
43,N#Cc1cc(C#N)c(B(c2c(C#N)cc(C#N)cc2C#N)c2c(C#N)cc(C#N)cc2C#N)c(C#N)c1
44,N#Cc1c(B(c2c(C#N)c(C(F)(F)F)c(N)c(C(F)(F)F)c2C#N)c2c(C#N)c(C(F)(F)F)c(N)c(C(F)(F)F)c2C#N)c(C#N)c(C(F)(F)F)c(N)c1C(F)(F)F
45,CN(C)c1c(F)c(N(C)C)c(B(c2c(N(C)C)c(F)c(N(C)C)c(F)c2N(C)C)c2c(N(C)C)c(F)c(N(C)C)c(F)c2N(C)C)c(N(C)C)c1F
46,O=[N+]([O-])c1c(Cl)c([N+](=O)[O-])c(B(c2c([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c(Cl)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c(Cl)c2[N+](=O)[O-])c([N+](=O)[O-])c1Cl
47,FC(F)(F)c1c(Cl)c(B(c2c(Cl)c(C(F)(F)F)c(Cl)c(C(F)(F)F)c2Cl)c2c(Cl)c(C(F)(F)F)c(Cl)c(C(F)(F)F)c2Cl)c(Cl)c(C(F)(F)F)c1Cl
48,COc1c(N)c(OC)c(N)c(B(c2c(N)c(OC)c(N)c(OC)c2N)c2c(N)c(OC)c(N)c(OC)c2N)c1N
49,CC(C)(C)c1cc(B(c2cc(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)c2)c2cc(C(C)(C)C)c(C(C)(C)C)c(C(C)(C)C)c2)cc(C(C)(C)C)c1C(C)(C)C
50,COc1c(Br)c(OC)c(Br)c(B(c2c(Br)c(OC)c(Br)c(OC)c2Br)c2c(Br)c(OC)c(Br)c(OC)c2Br)c1Br
51,FC(F)(F)c1c(B(c2c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c2C(F)(F)F)c2c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c2C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c1C(F)(F)F
52,Nc1c(F)c(Cl)c(F)c(N)c1B(c1c(N)c(F)c(Cl)c(F)c1N)c1c(N)c(F)c(Cl)c(F)c1N
53,CC(C)(C)c1c(N)c(C(C)(C)C)c(B(c2c(C(C)(C)C)c(N)c(C(C)(C)C)c(N)c2C(C)(C)C)c2c(C(C)(C)C)c(N)c(C(C)(C)C)c(N)c2C(C)(C)C)c(C(C)(C)C)c1N
54,FC(F)(F)c1ccc(B(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)cc1
55,Oc1c(C(F)(F)F)cc(B(c2cc(C(F)(F)F)c(O)c(C(F)(F)F)c2)c2cc(C(F)(F)F)c(O)c(C(F)(F)F)c2)cc1C(F)(F)F
56,O=[N+]([O-])c1cc([N+](=O)[O-])c(B(c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c2c([N+](=O)[O-])cc([N+](=O)[O-])cc2[N+](=O)[O-])c([N+](=O)[O-])c1
57,FC(F)(F)c1cc(C(F)(F)F)c(B(c2c(C(F)(F)F)cc(C(F)(F)F)cc2C(F)(F)F)c2c(C(F)(F)F)cc(C(F)(F)F)cc2C(F)(F)F)c(C(F)(F)F)c1
58,CN(C)c1cc(N(C)C)c(B(c2c(N(C)C)cc(N(C)C)cc2N(C)C)c2c(N(C)C)cc(N(C)C)cc2N(C)C)c(N(C)C)c1
59,Cc1c(Br)c(C)c([N+](=O)[O-])c(B(c2c([N+](=O)[O-])c(C)c(Br)c(C)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(C)c(Br)c(C)c2[N+](=O)[O-])c1[N+](=O)[O-]
60,Nc1c(Br)c(N)c(Br)c(B(c2c(Br)c(N)c(Br)c(N)c2Br)c2c(Br)c(N)c(Br)c(N)c2Br)c1Br
61,Clc1cc(Cl)c(B(c2c(Cl)cc(Cl)cc2Cl)c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1
62,N#Cc1c(O)c(C#N)c(O)c(B(c2c(O)c(C#N)c(O)c(C#N)c2O)c2c(O)c(C#N)c(O)c(C#N)c2O)c1O
63,COc1cc(B(c2cc(OC)c(C)c(OC)c2)c2cc(OC)c(C)c(OC)c2)cc(OC)c1C
64,Oc1c(Br)c(O)c(Br)c(B(c2c(Br)c(O)c(Br)c(O)c2Br)c2c(Br)c(O)c(Br)c(O)c2Br)c1Br
65,Cc1c(N)c(C)c(N)c(B(c2c(N)c(C)c(N)c(C)c2N)c2c(N)c(C)c(N)c(C)c2N)c1N
66,Brc1cc(Br)c(B(c2c(Br)cc(Br)cc2Br)c2c(Br)cc(Br)cc2Br)c(Br)c1
67,Oc1c(F)c(O)c(F)c(B(c2c(F)c(O)c(F)c(O)c2F)c2c(F)c(O)c(F)c(O)c2F)c1F
68,N#Cc1c(B(c2c(C#N)c(C(F)(F)F)c(C#N)c(C(F)(F)F)c2C#N)c2c(C#N)c(C(F)(F)F)c(C#N)c(C(F)(F)F)c2C#N)c(C#N)c(C(F)(F)F)c(C#N)c1C(F)(F)F
69,CC(C)(C)c1c(B(c2c(C(C)(C)C)c(C(F)(F)F)c(Br)c(C(F)(F)F)c2C(C)(C)C)c2c(C(C)(C)C)c(C(F)(F)F)c(Br)c(C(F)(F)F)c2C(C)(C)C)c(C(C)(C)C)c(C(F)(F)F)c(Br)c1C(F)(F)F
70,COc1c(N)c(B(c2c(N)c(OC)c([N+](=O)[O-])c(OC)c2N)c2c(N)c(OC)c([N+](=O)[O-])c(OC)c2N)c(N)c(OC)c1[N+](=O)[O-]
71,COc1c(B(c2c(OC)c([N+](=O)[O-])c(OC)c([N+](=O)[O-])c2OC)c2c(OC)c([N+](=O)[O-])c(OC)c([N+](=O)[O-])c2OC)c(OC)c([N+](=O)[O-])c(OC)c1[N+](=O)[O-]
72,O=[N+]([O-])c1c(F)c([N+](=O)[O-])c(B(c2c([N+](=O)[O-])c(F)c([N+](=O)[O-])c(F)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(F)c([N+](=O)[O-])c(F)c2[N+](=O)[O-])c([N+](=O)[O-])c1F
73,COc1c(C#N)c(OC)c(C#N)c(B(c2c(C#N)c(OC)c(C#N)c(OC)c2C#N)c2c(C#N)c(OC)c(C#N)c(OC)c2C#N)c1C#N
74,Cc1c(Cl)c(Br)c(B(c2c(Br)c(Cl)c(C)c(Cl)c2Br)c2c(Br)c(Cl)c(C)c(Cl)c2Br)c(Br)c1Cl
75,Cc1c(C(F)(F)F)c(C)c(C(F)(F)F)c(B(c2c(C(F)(F)F)c(C)c(C(F)(F)F)c(C)c2C(F)(F)F)c2c(C(F)(F)F)c(C)c(C(F)(F)F)c(C)c2C(F)(F)F)c1C(F)(F)F
76,Cc1c(Br)c(C)c(Br)c(B(c2c(Br)c(C)c(Br)c(C)c2Br)c2c(Br)c(C)c(Br)c(C)c2Br)c1Br
77,N#Cc1c([N+](=O)[O-])c(C#N)c([N+](=O)[O-])c(B(c2c([N+](=O)[O-])c(C#N)c([N+](=O)[O-])c(C#N)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(C#N)c([N+](=O)[O-])c(C#N)c2[N+](=O)[O-])c1[N+](=O)[O-]
78,Fc1cc(F)c(B(c2c(F)cc(F)cc2F)c2c(F)cc(F)cc2F)c(F)c1
79,Cc1c(N(C)C)cc(B(c2cc(N(C)C)c(C)c(N(C)C)c2)c2cc(N(C)C)c(C)c(N(C)C)c2)cc1N(C)C
80,N#Cc1c(N)c(Cl)c(N)c(C#N)c1B(c1c(C#N)c(N)c(Cl)c(N)c1C#N)c1c(C#N)c(N)c(Cl)c(N)c1C#N
81,CN(C)c1c(C#N)c(N(C)C)c(B(c2c(N(C)C)c(C#N)c(N(C)C)c(C#N)c2N(C)C)c2c(N(C)C)c(C#N)c(N(C)C)c(C#N)c2N(C)C)c(N(C)C)c1C#N
82,Cc1c(F)c(C)c(F)c(B(c2c(F)c(C)c(F)c(C)c2F)c2c(F)c(C)c(F)c(C)c2F)c1F
83,CC(C)(C)c1c(Cl)c(C(C)(C)C)c(B(c2c(C(C)(C)C)c(Cl)c(C(C)(C)C)c(Cl)c2C(C)(C)C)c2c(C(C)(C)C)c(Cl)c(C(C)(C)C)c(Cl)c2C(C)(C)C)c(C(C)(C)C)c1Cl
84,COc1c(C(C)(C)C)c(OC)c(C(C)(C)C)c(B(c2c(C(C)(C)C)c(OC)c(C(C)(C)C)c(OC)c2C(C)(C)C)c2c(C(C)(C)C)c(OC)c(C(C)(C)C)c(OC)c2C(C)(C)C)c1C(C)(C)C
85,COc1c(O)c(OC)c(B(c2c(OC)c(O)c(OC)c(O)c2OC)c2c(OC)c(O)c(OC)c(O)c2OC)c(OC)c1O
86,Cc1cc(C)c(B(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1
87,CN(C)c1c(C#N)c(N(C)C)c(C(F)(F)F)c(B(c2c(C(F)(F)F)c(N(C)C)c(C#N)c(N(C)C)c2C(F)(F)F)c2c(C(F)(F)F)c(N(C)C)c(C#N)c(N(C)C)c2C(F)(F)F)c1C(F)(F)F
88,COc1c(B(c2c(OC)c(N(C)C)c([N+](=O)[O-])c(N(C)C)c2OC)c2c(OC)c(N(C)C)c([N+](=O)[O-])c(N(C)C)c2OC)c(OC)c(N(C)C)c([N+](=O)[O-])c1N(C)C
89,O=[N+]([O-])c1c(B(c2c([N+](=O)[O-])c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c2[N+](=O)[O-])c([N+](=O)[O-])c(C(F)(F)F)c(C(F)(F)F)c1C(F)(F)F
90,N#Cc1c(B(c2c(C#N)c([N+](=O)[O-])c(C#N)c([N+](=O)[O-])c2C#N)c2c(C#N)c([N+](=O)[O-])c(C#N)c([N+](=O)[O-])c2C#N)c(C#N)c([N+](=O)[O-])c(C#N)c1[N+](=O)[O-]
91,CC(C)(C)c1c(C#N)c(B(c2c(C#N)c(C(C)(C)C)c(C#N)c(C(C)(C)C)c2C#N)c2c(C#N)c(C(C)(C)C)c(C#N)c(C(C)(C)C)c2C#N)c(C#N)c(C(C)(C)C)c1C#N
92,COc1c(B(c2c(OC)c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c2OC)c2c(OC)c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c2OC)c(OC)c(C(F)(F)F)c(C(F)(F)F)c1C(F)(F)F
93,CC(C)(C)c1c(Br)c(B(c2c(Br)c(C(C)(C)C)c(Br)c(C(C)(C)C)c2Br)c2c(Br)c(C(C)(C)C)c(Br)c(C(C)(C)C)c2Br)c(Br)c(C(C)(C)C)c1Br
94,CC(C)(C)c1c(C#N)c(C(C)(C)C)c(B(c2c(C(C)(C)C)c(C#N)c(C(C)(C)C)c(C#N)c2C(C)(C)C)c2c(C(C)(C)C)c(C#N)c(C(C)(C)C)c(C#N)c2C(C)(C)C)c(C(C)(C)C)c1C#N
95,CN(C)c1c(Cl)c(B(c2c(Cl)c(N(C)C)c(Cl)c(N(C)C)c2Cl)c2c(Cl)c(N(C)C)c(Cl)c(N(C)C)c2Cl)c(Cl)c(N(C)C)c1Cl
96,Cc1cc([N+](=O)[O-])cc(C)c1B(c1c(C)cc([N+](=O)[O-])cc1C)c1c(C)cc([N+](=O)[O-])cc1C
97,Cc1cc(B(c2cc(C)c(F)c(C)c2)c2cc(C)c(F)c(C)c2)cc(C)c1F
98,Fc1c(Cl)cc(B(c2cc(Cl)c(F)c(Cl)c2)c2cc(Cl)c(F)c(Cl)c2)cc1Cl
99,Nc1cc(N)c(B(c2c(N)cc(N)cc2N)c2c(N)cc(N)cc2N)c(N)c1
